"Payee","Amount","Date","Description","Directorate"
"Rural Housing Services",40195.5,"26-04-2010","Housing Voluntary Bodies","Housing & Regeneration"
"British Gas Trading Limited t/a British Gas Business",33004.48,"26-04-2010","Central Heating Initiative-Cap Grt to Priv Sect","Housing & Regeneration"
"British Gas Trading Limited t/a British Gas Business",792136.49,"26-04-2010","Energy Assistance Programme - Managing Agent","Housing & Regeneration"
"Landlord Accreditation Scotland Limited",25175,"26-04-2010","Private Rented Housing","Housing & Regeneration"
"Orkney Housing Association Limited",27177.96,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cairn Housing Association Limited",279680.48,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Albyn H S Limited",114753.75,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Grampian Housing Association Limited",63955.89,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Grampian Housing Association Limited",57609.88,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Argyll Community Housing Association",25133.87,"26-04-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Glasgow Housing Association Limited",2896694.82,"26-04-2010","GHA Dem'lition costs - Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",200000,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Almond Housing Association Limited",35443.72,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",150000,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",47554.67,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Forth H A Limited",173589.41,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Servite Housing Association",150000,"26-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",47830.96,"26-04-2010","Building works","Human Resources & Corporate Services"
"Scottish Legal Aid Board",778000,"26-04-2010","Slab Salaries Etc","Justice Directorate"
"CSW Partnership Limited",57192.51,"26-04-2010","Young people who need More Choices More Chances","Lifelong Learning"
"Lerwick Port Authority",48300,"26-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Don Fishing Company Limited, The",37938.96,"26-04-2010","Frs- Frv Charter Costs","Marine Scotland Directorate"
"Barr Limited (CIS only)",1362663.75,"26-04-2010","FRS Major Bldg Work & Refurbnt","Marine Scotland Directorate"
"National Policing Improvement Agency (NPIA)",335835.26,"26-04-2010","Fingerprint Identification","Police & Community Safety"
"Perth and Kinross Council",213600,"26-04-2010","National Demonstrations Projects","Public Health and Health Improvement"
"Economic & Social Research Council (ESRC)",100000,"26-04-2010","Environmental Studies","Rural & Environmental Research & Analysis"
"J P Grant",92256.6,"26-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Emprise Services PLC",30851.69,"26-04-2010","Security Services for Gogarbank site","Rural Payments & Inspections Directorate"
"SCDEA Choices for Life",257585.5,"26-04-2010","Curriculum","Learning Directorate"
"Strathclyde Partnership for Transport",300000,"26-04-2010","Regional Transport Partnership - Capital Projects","Transport Directorate"
"Tayside & Central Scotland Transport Partnership (TACTRAN)",40000,"26-04-2010","Regional Transport Partnership - Revenue Costs","Transport Directorate"
"NESTRANS",75000,"26-04-2010","Regional Transport Partnership - Revenue Costs","Transport Directorate"
"Dumfries & Galloway Council Commercial Services",60000,"26-04-2010","Regional Transport Partnership - Revenue Costs","Transport Directorate"
"City of Edinburgh Council",37000,"26-04-2010","Regional Transport Partnership - SESTRANS Revenue Costs","Transport Directorate"
"University Of Edinburgh",53781.23,"27-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Scottish European Green Energy Centre (SEGEC)",350000,"27-04-2010","Scottish European Green Energy Centre funding","Business, Energy"
"Plexus Corp (UK) Limited",154000,"27-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Critical Blue Limited",47283,"27-04-2010","Smart: Scotland Grant Instalment","Business, Energy"
"University Of Edinburgh",25780,"27-04-2010","Health Services Research","Chief Medical Officer"
"Waste and Resources Action Programme",55077,"27-04-2010","Zero Waste Scotland","Rural and Environment"
"Waste and Resources Action Programme",51900,"27-04-2010","Zero Waste Scotland","Rural and Environment"
"Waste and Resources Action Programme",560246,"27-04-2010","Zero Waste Scotland","Rural and Environment"
"Waste and Resources Action Programme",43683,"27-04-2010","Zero Waste Scotland","Rural and Environment"
"Waste and Resources Action Programme",111133,"27-04-2010","Zero Waste Scotland","Rural and Environment"
"Council of Ethnic Minority Voluntary Sector Organisations (CEMVO)",50000,"27-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Black & Ethnic Minorities Infrastructure in Scotland (BEMIS)",62500,"27-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"NHS Greater Glasgow and Clyde",200000,"27-04-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"British Gas Trading Limited t/a British Gas Business",42186.18,"27-04-2010","Central Heating Initiative-Cap Grt to Priv Sect","Housing & Regeneration"
"North Lanarkshire Council",120000,"27-04-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Sanctuary Scotland Housing Ass",344333,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Castle Rock Edinvar HA",164367,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cube Housing Association Limited",330032.42,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Wellhouse Housing Association Limited",25683.51,"27-04-2010","NHP Debt Serv. Rev Grt to PS","Housing & Regeneration"
"Link Group Limited",72500,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",175404,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",27698,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Eildon Housing Association",262738.14,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",92881.73,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",302413,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Melville Housing Assoc Limited",30070.2,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",28432.58,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",37209.54,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",335506.34,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",32929.8,"27-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Ayrshire Housing",69829.49,"27-04-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Carlson Wagonlit Travel UK Limited",50964.9,"27-04-2010","Scottish Government travel booked by appointed SG travel agent","Human Resources & Corporate Services"
"Moray Council",148441,"27-04-2010","DtS: Local Government","Lifelong Learning"
"Aberdeenshire Council",847296,"27-04-2010","DtS: Local Government","Lifelong Learning"
"Falkirk Council",215960,"27-04-2010","DtS: Local Government","Lifelong Learning"
"Denholm Fishselling Limited",25180,"27-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Cyril Sweett Limited",47000,"27-04-2010","FVA Major Building Work Project Management","Marine Scotland Directorate"
"Architon LLP",34647.81,"27-04-2010","FVA Major Building Work Design Team","Marine Scotland Directorate"
"University Of Stirling",28325.43,"27-04-2010","University Partnership","Marine Scotland Directorate"
"Scottish Grocers' Federation",56613,"27-04-2010","Grant - Healthy Eating Promotion","Public Health and Health Improvement"
"DF Concerts Limited",38187.5,"27-04-2010","Grant - Healthy Eating Promotion","Public Health and Health Improvement"
"Clackmannanshire Council",1867538,"27-04-2010","General Revenue Grant","Public Service Reform"
"Moray Council",3159962,"27-04-2010","General Revenue Grant","Public Service Reform"
"Shetland Islands Council",1833462,"27-04-2010","General Revenue Grant","Public Service Reform"
"West Lothian Council",5845596,"27-04-2010","General Revenue Grant","Public Service Reform"
"Midlothian Council",2977596,"27-04-2010","General Revenue Grant","Public Service Reform"
"Glasgow City Council",26009250,"27-04-2010","General Revenue Grant","Public Service Reform"
"City of Edinburgh Council",14706577,"27-04-2010","General Revenue Grant","Public Service Reform"
"Scottish Borders Council",4225538,"27-04-2010","General Revenue Grant","Public Service Reform"
"Argyll and Bute Council",4260904,"27-04-2010","General Revenue Grant","Public Service Reform"
"Aberdeenshire Council",8009115,"27-04-2010","General Revenue Grant","Public Service Reform"
"East Ayrshire Council",4494538,"27-04-2010","General Revenue Grant","Public Service Reform"
"Dumfries and Galloway Council",5915577,"27-04-2010","General Revenue Grant","Public Service Reform"
"South Ayrshire Council",3971115,"27-04-2010","General Revenue Grant","Public Service Reform"
"Highland Council, The",9192519,"27-04-2010","General Revenue Grant","Public Service Reform"
"East Renfrewshire Council",3408962,"27-04-2010","General Revenue Grant","Public Service Reform"
"Perth and Kinross Council",4860923,"27-04-2010","General Revenue Grant","Public Service Reform"
"North Ayrshire Council",5309865,"27-04-2010","General Revenue Grant","Public Service Reform"
"Angus Council",4035923,"27-04-2010","General Revenue Grant","Public Service Reform"
"Inverclyde Council",3374269,"27-04-2010","General Revenue Grant","Public Service Reform"
"Falkirk Council",5404000,"27-04-2010","General Revenue Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",2161654,"27-04-2010","General Revenue Grant","Public Service Reform"
"East Dunbartonshire Council",3557442,"27-04-2010","General Revenue Grant","Public Service Reform"
"Dundee City Council",5812577,"27-04-2010","General Revenue Grant","Public Service Reform"
"Aberdeen City Council",6585135,"27-04-2010","General Revenue Grant","Public Service Reform"
"West Dunbartonshire Council",3934827,"27-04-2010","General Revenue Grant","Public Service Reform"
"Orkney Islands Council",1405404,"27-04-2010","General Revenue Grant","Public Service Reform"
"South Lanarkshire Council",11054904,"27-04-2010","General Revenue Grant","Public Service Reform"
"Fife Council",12641808,"27-04-2010","General Revenue Grant","Public Service Reform"
"North Lanarkshire Council",12293212,"27-04-2010","General Revenue Grant","Public Service Reform"
"Stirling Council",3349923,"27-04-2010","General Revenue Grant","Public Service Reform"
"East Lothian Council",3279923,"27-04-2010","General Revenue Grant","Public Service Reform"
"Renfrewshire Council",6354000,"27-04-2010","General Revenue Grant","Public Service Reform"
"Voluntary Action Orkney",45826,"27-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Seafood Scotland",31833,"27-04-2010","Misc-Sc Food Strat Gp","Rural Directorate"
"Anniesland College",55081.58,"28-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Edinburgh Business Development",89779.34,"28-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"The Natural Power Consultants Limited",45000,"28-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Aggreko UK Ltd Manufacturing Div",270000,"28-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Braehead Foods Limited",35000,"28-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Taskforce (Finishing & Handling) Limited",51218.25,"28-04-2010","Scotland's International Image","Culture, External Affairs and Tourism"
"AEA Technology Environment",233333.33,"28-04-2010","Zero Waste Scotland","Rural and Environment"
"SDEF Scottish Disability Equality Forum",47500,"28-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Tayside Health Board",19500000,"28-04-2010","Cash Advances To Health Boards","Health Finance"
"Shetland Health Board",200000,"28-04-2010","Cash Advances To Health Boards","Health Finance"
"Chest Heart & Stroke Scotland",50000,"28-04-2010","Stroke","Healthcare Policy and Strategy"
"North Ayrshire Council",160000,"28-04-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Grampian Construction Limited",39360,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"The Blue Triangle H A Limited",32953.44,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",486995.88,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Almond Housing Association Limited",36050.11,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",49000,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dunedin Canmore Housing Association Limited",189405.03,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dunedin Canmore Housing Association Limited",27660.88,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Eildon Housing Association",178551.89,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",255943.33,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",171697,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Castle Rock Edinvar HA",177368.11,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Kingdom Housing Association limited",663377,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Fife Housing Association Limited",50559.89,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Almond Housing Association Limited",567636.28,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Melville Housing Assoc Limited",38406,"28-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Sodexo Limited",53658.52,"28-04-2010","Outsourced Services e.g. Catering, Cleaning, etc.","Human Resources & Corporate Services"
"Airsea Scotland Limited",37132.92,"28-04-2010","Fisheries Regional Advisory Councils","Marine Scotland Directorate"
"Glasgow Science Centre",262065,"28-04-2010","Operational grant to Scottish Science Centres","Office of the Chief Scientific Adviser"
"Strathclyde Fire Brigade",35978.25,"28-04-2010","Firelink Revenue","Police & Community Safety"
"Depression Alliance Scotland",48162.5,"28-04-2010","Public Mental Health Improvement","Primary & Community Care"
"Scottish Council For Voluntary Organisations (SCVO)",607744,"28-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"West Dunbartonshire CVS",45441,"28-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Evaluation Support Scotland",29942.75,"28-04-2010","Strategic Partnerships","Public Service Reform"
"Dundas Chemical Company",348828,"28-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Royal Society For The Prevention Of Accidents",27500,"28-04-2010","Scottish Road Safety Strategy","Transport Directorate"
"Highlands and Islands Enterprise",2000000,"29-04-2010","Grant in Aid Payment to Highlands and Islands Enterprise","Business, Energy"
"Fairbridge Training",124233.09,"29-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Workers Educational Association (Scotland)",32713.31,"29-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"University of Aberdeen",59242,"29-04-2010","Health Services Research","Chief Medical Officer"
"Contact a Family",57369,"29-04-2010","Supporting Families with Disabled Children","Children, Young People and Social Care"
"Dumfries and Galloway Council",47194,"29-04-2010","Getting it right for every child","Children, Young People and Social Care"
"Museums Galleries Scotland",150000,"29-04-2010","Non National Museums","Culture, External Affairs and Tourism"
"Scottish Arts Council",4000000,"29-04-2010","Scottish Arts Council","Culture, External Affairs and Tourism"
"Visit Scotland",3500000,"29-04-2010","Visit Scotland GIA","Culture, External Affairs and Tourism"
"Scottish Fair Trade Forum",71680,"29-04-2010","International Development","Culture, External Affairs and Tourism"
"NHS Grampian",95245.12,"29-04-2010","Systems Implement Fund","E-Health"
"Perth and Kinross Council",347283,"29-04-2010","Private Water Supplies Grant Scheme","Environmental Quality"
"Argyll and Bute Council",331207.47,"29-04-2010","Private Water Supplies Grant Scheme","Environmental Quality"
"Department for Work and Pensions (DSS Corporate Services Directorate)",72000,"29-04-2010","Contribution to UK Cross Government Project","Finance"
"COI Communications",31076.83,"29-04-2010","National Communication Campaign Phase 1 Quarter 1","Health Delivery"
"Lanarkshire NHS Board",9000000,"29-04-2010","Cash Advances To Health Boards","Health Finance"
"Clyde Gateway",108152.75,"29-04-2010","Urban Regeneration Companies","Housing & Regeneration"
"Clyde Gateway",271155.42,"29-04-2010","Urban Regeneration Companies","Housing & Regeneration"
"Cordale Housing Association",26510.01,"29-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Argyll Community Housing Association",112573.87,"29-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dunbritton Housing Assoc Limited",102125.13,"29-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cube Housing Association Limited",155009,"29-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Harper MacLeod",25290.42,"29-04-2010","Legal costs","Housing & Regeneration"
"Harper MacLeod",42932,"29-04-2010","Legal costs","Housing & Regeneration"
"Pertemps Group Of Companies, The",83251.58,"29-04-2010","Agency Casual Staff Costs","Human Resources & Corporate Services"
"Vodafone Limited (Corporate)",188789.72,"29-04-2010","Telecommunications Services","Human Resources & Corporate Services"
"Cabinet Office",40000,"29-04-2010","Dev & Corporate Training Fees","Human Resources & Corporate Services"
"North Ayrshire Council",785559,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Clackmannanshire Council",1004313,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Glasgow City Council",1500694,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Aberdeen City Council",975368,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"South Lanarkshire Council",55354,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Glasgow City Council",55000,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"South Lanarkshire Council",975241,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Renfrewshire Council",54930,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Renfrewshire Council",886905,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Charles Gray & Company",53750,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Dundee City Council",670177,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"North Ayrshire Council",55938,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Dundee City Council",56970,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Clackmannanshire Council",51829,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"City of Edinburgh Council",1187364,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Aberdeen City Council",55219,"29-04-2010","Community Justice Authorities Grant","Justice Directorate"
"Petal Support Group",104103,"29-04-2010","Info. For Victims and Witnesses","Justice Directorate"
"Glasgow City Council",296875,"29-04-2010","DtS: Local Government","Lifelong Learning"
"Midlothian Council",152973,"29-04-2010","DtS: Local Government","Lifelong Learning"
"Highland Council, The",779569,"29-04-2010","DtS: Local Government","Lifelong Learning"
"West Dunbartonshire Council",257935,"29-04-2010","DtS: Local Government","Lifelong Learning"
"West Lothian Council",172796,"29-04-2010","DtS: Local Government","Lifelong Learning"
"Scottish Personal Assistant Employers Network",40000,"29-04-2010","Self-directed individualised budgets","Primary & Community Care"
"Royal Society For The Prevention Of Accidents",31257.25,"29-04-2010","1st quarter grant to Royal Society for the Prevention of Accidents","Public Health and Health Improvement"
"Design Dimension Educational Trust",116633,"29-04-2010","Food and Health","Public Health and Health Improvement"
"NHS National Services Scotland",131987.75,"29-04-2010","National Managed Technical Service to support eCare programme","Public Service Reform"
"Council for Voluntary Organisations in Kyle & Carrick (CVO)",47982,"29-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Scottish Crop Research Institute",1889500,"29-04-2010","Scri Gr In Aid","Rural & Environmental Research & Analysis"
"Scottish Crop Research Institute",35501,"29-04-2010","C of E/EHH Payments","Rural & Environmental Research & Analysis"
"Cairngorms National Park Authority",360000,"29-04-2010","Grant in Aid for May 2010","Rural and Environment"
"Loch Lomond & The Trossachs National Park Authority",530000,"29-04-2010","Grant in Aid for May 2010","Rural and Environment"
"W J FRASER AND SONS",47272.8,"29-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Sustrans Scotland",150000,"29-04-2010","National Cycling Network and Links","Transport Directorate"
"Cycling Scotland",238290,"29-04-2010","Cycling Scotland","Transport Directorate"
"Strathclyde Partnership for Transport",1000000,"29-04-2010","Regional Transport Partnership - Capital Projects","Transport Directorate"
"Department for Transport",30664,"29-04-2010","Consultancy - Analytical Services","Transport Directorate"
"Highlands And Islands Airports Limited",1200000,"29-04-2010","HIAL Deficit Grants","Transport Directorate"
"CalMac Ferries Limited",34339.54,"29-04-2010","CalMac Deficit Grant","Transport Directorate"
"Scottish Enterprise",5825000,"30-04-2010","Grant in Aid Payment to Scottish Enterprise","Business, Energy"
"Scottish Enterprise",2715144.21,"30-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Glasgow Caledonian University",30099.46,"30-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Scottish Enterprise",1529561.6,"30-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Forestry Commission",59700.6,"30-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"M-Squared Lasers Limited",35721,"30-04-2010","Smart: Scotland Grant Instalment","Business, Energy"
"Chivas GBP Treasury",350000,"30-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Arthur McKay & Company",93681.74,"30-04-2010","PVG Act Implementation","Children, Young People and Social Care"
"Department of Energy & Climate Change (DECC)",26600,"30-04-2010","Climate Change- Policy Dev & Imp","Energy"
"East Dunbartonshire Council",70000,"30-04-2010","Grant for Gaelic Education","Culture, External Affairs and Tourism"
"Lothian NHS Board",228358.97,"30-04-2010","18 Weeks Service Redesign and Transformation","Health Delivery"
"Dumfries & Galloway NHS Board",800000,"30-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS National Services Scotland",8000000,"30-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS National Services Scotland",14000000,"30-04-2010","Family Health Services NCL Advances","Health Finance"
"Hebridean Housing Partnership Limited",101208.3,"30-04-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Loreburn Housing Association Limited",25289.29,"30-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",94200,"30-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dunbritton Housing Assoc Limited",26699.92,"30-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Copyright Licensing Agency Limited",52581.37,"30-04-2010","Copyright Licences","Human Resources & Corporate Services"
"Scottish Legal Aid Board",4189000,"30-04-2010","Legal Aid Fund","Justice Directorate"
"Department for Business, Innovation & Skills",300454.91,"30-04-2010","Debt Sale Subsidy (Payments)","Lifelong Learning"
"Midlothian Council",80215,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Orkney Islands Council",85018,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Scottish Borders Council",121042,"30-04-2010","DtS: Local Government","Lifelong Learning"
"East Ayrshire Council",116719,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Dundee City Council",235484,"30-04-2010","DtS: Local Government","Lifelong Learning"
"North Lanarkshire Council",612534,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Comhairle Nan Eilean Siar",116719,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Perth and Kinross Council",137854,"30-04-2010","DtS: Local Government","Lifelong Learning"
"South Ayrshire Council",106152,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Shetland Islands Council",54275.9,"30-04-2010","DtS: Local Government","Lifelong Learning"
"East Renfrewshire Council",288196,"30-04-2010","DtS: Local Government","Lifelong Learning"
"East Dunbartonshire Council",335748,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Argyll and Bute Council",409238,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Aberdeen City Council",152264,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Perth and Kinross Council",413561,"30-04-2010","DtS: Local Government","Lifelong Learning"
"East Renfrewshire Council",96065,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Inverclyde Council",73010,"30-04-2010","DtS: Local Government","Lifelong Learning"
"West Lothian Council",158508,"30-04-2010","DtS: Local Government","Lifelong Learning"
"South Ayrshire Council",79385,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Fife Council",804821,"30-04-2010","DtS: Local Government","Lifelong Learning"
"East Ayrshire Council",149289,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Aberdeen City Council",456790,"30-04-2010","DtS: Local Government","Lifelong Learning"
"North Ayrshire Council",237708.16,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Falkirk Council",125365,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Moray Council",96546,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Orkney Islands Council",28339,"30-04-2010","DtS: Local Government","Lifelong Learning"
"Dumfries and Galloway Council",173398,"30-04-2010","DtS: Local Government","Lifelong Learning"
"SPSA Local Account",7000000,"30-04-2010","SPSA Grant in Aid","Police & Community Safety"
"Strathclyde Police",710220,"30-04-2010","Ports Unit","Police & Community Safety"
"Aberdeenshire Council",248620,"30-04-2010","Flood And Storm Damage","Public Service Reform"
"NHS National Services Scotland",28225.85,"30-04-2010","National Managed Technical Service to support eCare programme","Public Service Reform"
"NHS National Services Scotland",28225.85,"30-04-2010","National Managed Technical Service to support eCare programme","Public Service Reform"
"Columba 1400",91000,"30-04-2010","Third Sector Enterprise Fund","Public Service Reform"
"BBSRC",33797.7,"30-04-2010","Annual subscription towards information and advice on EU funding for research and higher education","Rural & Environmental Research & Analysis"
"Scottish Natural Heritage",5250000,"30-04-2010","Grant in Aid for May 2010","Rural and Environment"
"Capgemini UK Plc",38530.86,"30-04-2010","Project Support Services","Scottish Procurement Directorate"
